time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-02-20T09:01:00-05:00,RGTI,5m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,1,-1,-0.3479701269137337,-0.15730261665253636,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.16%),2026-02-20T09:05:53.968079-05:00,16.32,100.0,16.33,100.0,16.325,0.00999999999999801,0.06125574272586836
2026-02-20T09:00:00-05:00,OPEN,5m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,1,-1,-1.5554837637826469,-0.5260476572823113,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.53%),2026-02-20T09:06:59.249953-05:00,5.37,100.0,5.38,100.0,5.375,0.009999999999999787,0.18604651162790303
2026-02-20T09:00:00-05:00,TQQQ,5m_close,1.44,CONFIRMED,BOTH,0,1,2,-1,0,0,-1,1,-1,1,-1,0.08575904231304644,-0.08520617449742299,nan,nan,1.0,1.0,15m near VWAP (-0.09%): bias=BOTH; favor reversion,2026-02-20T09:07:00.004021-05:00,48.3,800.0,48.32,800.0,48.31,0.020000000000003126,0.04139929621197087
2026-02-20T09:06:00-05:00,OPEN,5m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,1,-1,-2.6072666183307005,-0.5260476572823113,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.53%),2026-02-20T09:10:48.514809-05:00,5.27,100.0,5.28,100.0,5.275,0.010000000000000675,0.1895734597156526
2026-02-20T09:05:00-05:00,RGTI,5m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,1,-1,-0.37229943803655885,-0.15730261665253636,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.16%),2026-02-20T09:11:44.835477-05:00,16.26,100.0,16.27,100.0,16.265,0.00999999999999801,0.06148170919150329
2026-02-20T08:25:00-05:00,UNG,1h_close,1.2,CONFIRMED,BOTH,1,1,0,1,0,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,5m#1 ok (no extreme VWAP dislocation),2026-02-20T09:11:59.420298-05:00,11.88,2500.0,11.89,2600.0,11.885000000000002,0.009999999999999787,0.08413967185527796
2026-02-20T08:46:00-05:00,UNG,30m_close,1.44,CONFIRMED,BOTH,1,1,0,1,0,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,5m#1 ok (no extreme VWAP dislocation),2026-02-20T09:11:59.420298-05:00,11.88,2500.0,11.89,2600.0,11.885000000000002,0.009999999999999787,0.08413967185527796
2026-02-20T08:46:00-05:00,UNG,15m_close,1.44,CONFIRMED,BOTH,1,1,0,1,0,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T09:11:59.420298-05:00,11.88,2500.0,11.89,2600.0,11.885000000000002,0.009999999999999787,0.08413967185527796
2026-02-20T08:57:00-05:00,UNG,5m_close,1.44,CONFIRMED,BOTH,1,1,0,1,0,0,0,0,0,1,1,0.052548607461899266,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T09:11:59.420298-05:00,11.88,2500.0,11.89,2600.0,11.885000000000002,0.009999999999999787,0.08413967185527796
2026-02-20T09:06:00-05:00,TQQQ,5m_close,1.44,CONFIRMED,BOTH,0,1,2,-1,0,0,-1,1,-1,1,-1,0.002182255643391826,-0.08520617449742299,nan,nan,1.0,1.0,15m near VWAP (-0.09%): bias=BOTH; favor reversion,2026-02-20T09:13:59.681966-05:00,48.08,800.0,48.1,800.0,48.09,0.020000000000003126,0.04158868787690398
