[WARN] Stream symbol cap hit (30). Dropping market symbols: ['IWM', 'SPY', 'VIXY', 'VTI']
Streaming 1m bars + live quotes for 30 symbols on feed=DataFeed.IEX ...
CLOSED-BAR ONLY: eligibility + features updated ONLY on closed 5m/15m/30m/1h bars.
VWAP thresholds: extreme=1.25%  near=0.10%
Gates: MIN_DAY_VOLUME=300,000  MIN_PCT_CHG=0.75% (abs from day open)
TradeQual: MAX_SPREAD_PCT=0.200%  QUOTE_MAX_AGE_SEC=8  MIN_RR=1.80
Webhook -> FastAPI: ENABLED url=http://127.0.0.1:8000/api/events
MarketDirection: decision_time=10:10 ET tickers: SP_FUT=SPY, NYSE=VTI, DJ=DIA, SP500=SPY, NASDAQ=QQQ, IWM=IWM, VIX=VIXY
Pre-decision: bars/features only. Post-decision: eligibility/session_state/trade_signals enabled.
Regime benchmark symbol: AUTO (select first CONFIRMED at 30m)
[MARKET] Market direction locked @ 11:42 score=-0.675 (vix_penalty=0.000) -> SHORT_ONLY
[5M CLOSED] SOUN 13:20 close=8.65
[1H CLOSED] NKTR 13:03 close=65.76
[30M CLOSED] NKTR 13:03 close=65.76
[15M CLOSED] NKTR 13:16 close=65.76
[5M CLOSED] NKTR 13:20 close=65.76
[1H CLOSED] QQQ 13:01 close=605.26
[30M CLOSED] QQQ 13:01 close=605.26
[15M CLOSED] QQQ 13:15 close=605.26
[5M CLOSED] QQQ 13:20 close=605.26
[1H CLOSED] XLV 13:01 close=156.40
[30M CLOSED] XLV 13:01 close=156.40
[15M CLOSED] XLV 13:15 close=156.40
[5M CLOSED] XLV 13:20 close=156.40
[1H CLOSED] TQQQ 13:01 close=49.04
[REGIME_SYMBOL SELECTED] TQQQ (highest CONFIRMED score=0.000)
[30M CLOSED] TQQQ 13:01 close=49.04
[15M CLOSED] TQQQ 13:15 close=49.04
[5M CLOSED] TQQQ 13:20 close=49.04
[1H CLOSED] OPEN 13:01 close=5.20
[30M CLOSED] OPEN 13:01 close=5.20
[15M CLOSED] OPEN 13:16 close=5.20
[5M CLOSED] OPEN 13:20 close=5.20
[1H CLOSED] BUZZ 13:13 close=30.78
[30M CLOSED] BUZZ 13:13 close=30.78
[15M CLOSED] BUZZ 13:16 close=30.78
[5M CLOSED] BUZZ 13:16 close=30.78
[1H CLOSED] GORO 11:44 close=1.53
[30M CLOSED] GORO 11:44 close=1.53
[15M CLOSED] GORO 11:48 close=1.53
[5M CLOSED] GORO 11:48 close=1.53
[1H CLOSED] OUST 13:01 close=18.55
[30M CLOSED] OUST 13:01 close=18.55
[15M CLOSED] OUST 13:15 close=18.55
[5M CLOSED] OUST 13:20 close=18.55
[1H CLOSED] QTUM 13:18 close=116.71
[30M CLOSED] QTUM 13:18 close=116.71
[15M CLOSED] QTUM 13:18 close=116.71
[5M CLOSED] QTUM 13:18 close=116.71
[5M CLOSED] RGTI 14:00 close=18.54
[5M CLOSED] LUNR 14:00 close=17.50
[5M CLOSED] TQQQ 14:00 close=49.71
[5M CLOSED] XLV 14:00 close=156.81
[5M CLOSED] IAG 14:00 close=23.84
[5M CLOSED] UBER 14:00 close=75.63
[5M CLOSED] DIA 14:00 close=494.25
[5M CLOSED] QBTS 14:00 close=20.05
[5M CLOSED] NVD 14:00 close=6.87
[5M CLOSED] QQQ 14:00 close=607.98
[5M CLOSED] XLE 14:00 close=55.22
[5M CLOSED] IONQ 14:00 close=41.02
[5M CLOSED] SOUN 14:00 close=8.72
[5M CLOSED] NGD 14:00 close=12.72
[5M CLOSED] NKTR 14:00 close=64.71
[1H CLOSED] UNG 13:02 close=11.32
[30M CLOSED] UNG 13:02 close=11.32
[15M CLOSED] UNG 13:19 close=11.32
[5M CLOSED] UNG 13:20 close=11.32
[1H CLOSED] NKTR 14:00 close=65.08
[30M CLOSED] NKTR 14:00 close=65.08
[15M CLOSED] NKTR 14:00 close=65.08
[5M CLOSED] NKTR 14:06 close=65.08
[1H CLOSED] NGD 14:00 close=12.79
[30M CLOSED] NGD 14:00 close=12.79
[15M CLOSED] NGD 14:00 close=12.79
[5M CLOSED] NGD 14:06 close=12.79
[1H CLOSED] RGTI 14:00 close=18.55
[30M CLOSED] RGTI 14:00 close=18.55
[15M CLOSED] RGTI 14:00 close=18.55
[5M CLOSED] RGTI 14:05 close=18.55
[1H CLOSED] GORO 14:00 close=1.52
[30M CLOSED] GORO 14:00 close=1.52
[15M CLOSED] GORO 14:00 close=1.52
[5M CLOSED] GORO 14:00 close=1.52
[1H CLOSED] XLE 14:00 close=55.22
[30M CLOSED] XLE 14:00 close=55.22
[15M CLOSED] XLE 14:00 close=55.22
[5M CLOSED] XLE 14:05 close=55.22
[1H CLOSED] LUNR 14:00 close=17.50
[30M CLOSED] LUNR 14:00 close=17.50
[15M CLOSED] LUNR 14:00 close=17.50
[5M CLOSED] LUNR 14:05 close=17.50
[1H CLOSED] QQQ 14:00 close=608.42
[30M CLOSED] QQQ 14:00 close=608.42
[15M CLOSED] QQQ 14:00 close=608.42
[5M CLOSED] QQQ 14:05 close=608.42
[1H CLOSED] SOUN 14:00 close=8.78
[30M CLOSED] SOUN 14:00 close=8.78
[15M CLOSED] SOUN 14:00 close=8.78
[5M CLOSED] SOUN 14:05 close=8.78
[1H CLOSED] OUST 14:01 close=18.98
[30M CLOSED] OUST 14:01 close=18.98
[15M CLOSED] OUST 14:01 close=18.98
[5M CLOSED] OUST 14:01 close=18.98
[1H CLOSED] QBTS 14:00 close=19.95
[30M CLOSED] QBTS 14:00 close=19.95
[15M CLOSED] QBTS 14:00 close=19.95
[5M CLOSED] QBTS 14:05 close=19.95
[1H CLOSED] TQQQ 14:00 close=49.85
[30M CLOSED] TQQQ 14:00 close=49.85
[15M CLOSED] TQQQ 14:00 close=49.85
[5M CLOSED] TQQQ 14:05 close=49.85
[1H CLOSED] DIA 14:00 close=494.35
[30M CLOSED] DIA 14:00 close=494.35
[15M CLOSED] DIA 14:00 close=494.35
[5M CLOSED] DIA 14:05 close=494.35
[1H CLOSED] XLV 14:00 close=156.96
[30M CLOSED] XLV 14:00 close=156.96
[15M CLOSED] XLV 14:00 close=156.96
[5M CLOSED] XLV 14:05 close=156.96
[1H CLOSED] NVD 14:00 close=6.84
